gender,age,visit_per_week
Male,36,4
Female,21,4
Male,52,3
Female,34,2
Male,45,4
Male,47,5
Male,46,3
Female,23,5
Female,52,4
Male,58,2
Male,54,2
Female,41,4
Female,46,4
Female,48,4
Male,52,4
Female,50,2
Male,38,3
Female,49,4
Male,40,2
Female,50,4
Female,20,3
Female,35,4
Female,42,2
Female,59,3
Male,48,3
Female,20,4
Female,57,3
Female,41,3
Male,49,4
Female,39,2
Male,40,2
Female,19,2
Female,44,3
Male,59,3
Female,19,4
Male,43,3
Male,34,2
Female,57,3
Male,50,4
Female,26,5
Female,56,3
Male,46,3
Male,59,3
Male,43,3
Male,52,3
Female,42,3
Female,41,5
Male,30,2
Female,24,3
Female,53,3
Female,37,4
Female,18,3
Male,25,3
Male,33,2
Female,31,4
Male,29,2
Male,40,3
Male,32,3
Female,45,3
Female,51,3
Female,19,3
Male,49,3
Female,40,5
Female,39,3
Male,42,3
Female,39,4
Female,39,3
Male,59,4
Male,23,2
Male,32,2
Female,54,4
Female,50,4
Female,25,3
Male,22,4
Male,56,4
Female,21,4
Female,23,2
Male,49,3
Male,47,5
Male,52,2
Male,57,4
Female,33,2
Male,30,3
Female,59,2
Female,47,3
Female,36,4
Male,34,3
Male,36,4
Male,45,4
Male,43,5
Female,54,2
Male,43,2
Male,40,3
Female,26,5
Male,29,4
Female,18,4
Female,18,4
Female,51,4
Female,49,4
Female,42,3
Female,57,4
Female,18,3
Female,33,4
Male,56,3
Male,22,4
Male,39,3
Male,46,3
Female,20,2
Male,29,2
Female,43,2
Male,33,4
Male,54,4
Male,39,2
Female,46,3
Male,31,4
Female,45,4
Female,22,3
Male,47,4
Male,22,4
Male,29,5
Female,33,5
Male,43,2
Female,43,5
Female,38,2
Male,56,5
Male,53,3
Female,50,5
Female,47,5
Female,54,4
Male,40,3
Female,27,3
Male,22,3
Female,53,4
Female,51,3
Male,48,3
Female,27,2
Male,36,5
Male,49,4
Female,18,5
Male,22,3
Male,21,4
Female,33,5
Male,41,3
Male,33,4
Male,19,4
Female,45,2
Male,49,3
Female,44,2
Female,37,2
Male,41,2
Male,29,2
Male,52,2
Female,50,2
Male,50,4
Male,54,3
Male,29,5
Male,20,3
Male,18,3
Female,50,4
Female,57,3
Male,27,2
Male,46,3
Male,30,2
Male,29,4
Female,48,4
Male,19,2
Female,52,3
Female,40,4
Male,34,3
Female,43,3
Female,25,5
Female,46,2
Female,43,3
Male,27,4
Male,43,3
Female,51,3
Male,58,2
Male,24,3
Male,21,3
Male,28,3
Male,46,2
Female,53,3
Male,42,5
Male,38,5
Male,53,4
Male,27,3
Female,54,4
Female,26,4
Female,41,4
Female,52,3
Male,52,5
Female,53,4
Male,35,2
Male,56,2
Male,49,4
Male,41,5
Male,40,3
Female,49,3
Female,54,2
Female,29,4
Female,30,3
Male,40,2
Female,42,2
Male,52,4
Female,58,3
Male,47,3
Male,34,2
Female,37,2
Male,42,2
Male,39,5
Female,30,4
Male,36,5
Female,53,4
Female,29,2
Female,58,4
Male,36,4
Male,29,4
Male,26,2
Female,24,3
Male,45,3
Female,31,2
Female,48,4
Male,36,4
Female,33,3
Male,22,2
Male,52,4
Male,29,4
Male,42,4
Male,38,5
Female,53,3
Female,40,2
Female,33,4
Male,56,4
Male,59,3
Male,56,5
Female,31,3
Male,48,5
Female,22,3
Female,52,4
Male,40,4
Male,46,5
Female,28,3
Male,35,4
Female,29,3
Male,26,3
Male,27,2
Female,34,4
Male,55,4
Female,24,3
Male,30,3
Female,57,3
Female,59,3
Male,26,2
Female,44,2
Male,19,3
Male,22,5
Male,46,4
Female,54,3
Female,55,3
Male,36,3
Male,25,3
Female,18,3
Male,39,2
Male,34,2
Female,24,2
Male,42,3
Female,21,3
Male,53,3
Female,23,2
Male,48,3
Male,36,5
Female,56,2
Male,44,4
Female,27,4
Male,43,3
Female,36,3
Female,56,2
Female,20,3
Female,30,4
Male,45,4
Male,37,4
Female,45,2
Female,25,4
Female,58,4
Male,56,3
Male,18,4
Male,20,3
Male,30,4
Female,45,4
Female,42,5
Female,50,4
Male,55,3
Male,23,2
Male,49,4
Female,38,3
Female,33,3
Male,38,4
Female,28,4
Male,54,3
Male,53,5
Female,52,3
Male,36,3
Female,37,2
Male,35,5
Female,58,4
Female,31,2
Female,32,5
Male,48,5
Male,18,5
Female,20,4
Female,33,3
Male,40,4
Male,28,4
Male,29,5
Female,27,4
Male,49,4
Male,33,3
Female,25,2
Male,55,4
Male,29,4
Male,41,5
Female,45,3
Female,25,2
Female,45,3
Female,53,4
Female,43,5
Female,25,3
Female,45,4
Male,45,5
Male,54,3
Female,58,4
Male,53,3
Male,44,4
Female,34,3
Male,26,3
Male,50,4
Male,37,5
Male,30,4
Male,45,3
Female,46,3
Female,30,3
Female,52,3
Male,23,2
Female,35,4
Male,22,5
Male,42,3
Male,19,4
Male,27,4
Female,47,3
Female,22,3
Male,50,4
Female,18,3
Male,35,3
Female,49,2
Female,28,3
Male,38,4
Female,43,2
Male,42,3
Female,39,2
Male,44,4
Male,30,2
Female,50,5
Female,51,2
Male,58,3
Female,52,2
Female,18,2
Male,38,4
Male,23,4
Female,45,2
Male,34,4
Male,22,4
Male,48,4
Female,22,3
Female,55,3
Male,20,4
Female,40,3
Male,54,3
Female,54,4
Male,27,2
Male,27,4
Female,36,3
Male,34,4
Female,38,4
Female,31,3
Male,26,3
Male,18,3
Female,30,4
Male,21,3
Male,18,3
Male,57,4
Male,49,5
Male,51,2
Female,45,5
Female,48,3
Male,25,3
Male,56,2
Male,43,3
Female,51,4
Male,20,3
Female,29,4
Female,18,3
Female,22,4
Male,47,3
Female,47,3
Male,34,4
Female,40,3
Male,32,3
Female,54,4
Male,38,4
Female,31,5
Male,19,5
Male,28,4
Male,56,3
Male,55,3
Female,51,4
Female,55,3
Male,51,3
Female,35,5
Male,47,3
Male,32,3
Female,44,4
Male,51,2
Male,55,3
Female,50,3
Male,41,3
Male,32,2
Male,47,4
Male,59,3
Female,34,3
Female,22,3
Female,46,4
Male,21,3
Male,27,3
Female,34,5
Male,27,4
Male,34,2
Male,37,5
Male,41,4
Female,22,4
Female,51,2
Female,23,2
Male,19,3
Female,30,4
Female,28,3
Male,40,4
Male,33,3
Female,48,3
Female,28,3
Female,33,2
Female,25,3
Male,21,3
Female,57,5
Female,21,2
Male,42,3
Female,20,2
Male,49,3
Male,20,2
Male,44,5
Female,46,3
Female,49,3
Male,36,3
Female,38,4
Female,22,4
Male,35,2
Male,45,3
Female,59,3
Male,39,2
Female,38,5
Female,23,3
Female,18,3
Female,22,4
Male,58,2
Male,29,4
Male,43,3
Male,51,3
Female,31,4
Female,43,4
Male,44,5
Female,26,2
Female,43,4
Female,39,2
Male,47,3
Male,34,4
Male,43,2
Female,53,3
Male,18,3
Male,25,4
Male,52,3
Male,32,4
Male,39,4
Male,31,2
Female,43,3
Female,45,2
Male,40,2
Male,31,2
Female,41,4
Female,19,4
Male,43,3
Male,31,2
Male,24,4
Male,20,3
Female,40,3
Male,35,4
Male,55,3
Male,52,2
Male,32,3
Female,42,4
Female,54,2
Female,45,4
Male,27,5
Male,56,3
Female,34,4
Male,56,3
Male,39,3
Female,43,4
Female,42,3
Female,34,4
Female,30,4
Male,37,4
Male,42,2
Female,21,3
Male,27,3
Female,20,2
Female,58,2
Male,35,2
Female,53,4
Male,39,4
Male,51,2
Male,25,4
Male,57,5
Female,36,5
Male,59,3
Female,58,4
Female,54,4
Female,23,3
Female,43,2
Male,51,2
Male,23,4
Female,54,5
Female,50,4
Male,39,4
Female,38,2
Male,23,4
Female,23,4
Male,21,2
Female,47,4
Female,28,5
Male,47,2
Female,48,4
Female,41,3
Male,26,4
Female,20,3
Male,48,4
Male,57,3
Female,54,3
Female,53,4
Female,41,4
Female,48,3
Female,23,4
Female,19,4
Female,37,2
Male,45,4
Female,28,5
Male,21,2
Female,32,4
Female,23,3
Male,47,2
Female,55,2
Female,19,5
Male,32,3
Female,28,2
Female,25,3
Female,43,3
Male,22,2
Female,23,5
Female,43,4
Female,21,3
Female,36,4
Male,37,4
Male,50,4
Female,37,3
Female,29,3
Male,18,3
Male,43,5
Female,31,4
Male,55,3
Female,54,2
Male,28,4
Male,53,3
Male,30,4
Male,20,5
Female,50,2
Male,23,3
Male,27,3
Female,22,5
Male,40,5
Male,27,3
Female,19,3
Male,30,2
Female,57,3
Female,19,5
Female,37,4
Female,18,2
Male,54,3
Female,26,4
Male,34,2
Male,26,2
Male,28,4
Male,32,4
Male,41,2
Male,55,3
Male,52,2
Male,47,3
Male,48,4
Male,22,3
Female,31,4
Female,28,3
Female,26,2
Male,51,4
Female,29,4
Female,52,4
Female,52,3
Male,18,3
Male,57,3
Male,39,3
Male,46,4
Female,25,2
Female,28,3
Female,58,4
Female,54,3
Male,31,4
Male,47,3
Male,52,4
Female,38,3
Male,54,4
Male,22,2
Female,36,2
Female,31,3
Male,43,2
Male,21,3
Male,42,4
Male,59,5
Male,42,3
Male,35,4
Female,57,3
Female,25,3
Female,56,5
Male,57,3
Female,31,4
Male,49,2
Male,55,4
Female,50,3
Male,40,5
Male,32,3
Female,50,3
Female,42,4
Female,34,3
Male,50,4
Female,19,3
Female,31,4
Male,57,4
Female,57,2
Female,56,5
Female,23,2
Male,23,5
Male,20,4
Male,24,4
Male,25,2
Female,59,5
Male,32,3
Male,46,2
